"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","oss-2",,,,"User:","sachin"
"Cmdline:","dstat -D sda2,sda3,sda5,sda9,sda -N eth1,eth2,eth3,eth4,eth5,total -tcnmdls --disk-util --output dstat.csv 1 460",,,,"Date:","06 May 2013 12:18:46 IST"

"system","total cpu usage",,,,,,"net/eth1",,"net/eth2",,"net/eth3",,"net/eth4",,"net/eth5",,"net/total",,"memory usage",,,,"dsk/sda2",,"dsk/sda3",,"dsk/sda5",,"dsk/sda9",,"dsk/sda",,"load avg",,,"swap",,"sda2","sda3","sda5","sda9","sda"
"date/time","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ","read","writ","read","writ","read","writ","read","writ","1m","5m","15m","used","free","util","util","util","util","util"
06-05 12:18:46,0.040,0.054,99.725,0.178,0.000,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780169216.0,270155776.0,2869633024.0,29698723840.0,7690.218,2133295.585,11.382,0.048,1.471,0.048,913.321,37014.582,8701.039,2172133.686,0.320,0.490,0.430,528384.0,33553895424.0,6.965,0.000,0.000,0.111,7.072
06-05 12:18:47,0.062,0.031,99.719,0.187,0.0,0.0,64.0,0.0,64.0,0.0,64.0,0.0,7542.0,7094.0,64.0,0.0,8306.0,7094.0,780779520.0,270155776.0,2871504896.0,29696241664.0,0.0,1908736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1908736.0,0.290,0.480,0.430,528384.0,33553895424.0,10.400,0.0,0.0,0.0,10.400
06-05 12:18:48,0.125,0.156,99.312,0.375,0.0,0.031,0.0,0.0,4499872.0,84240.0,64.0,0.0,64.0,0.0,0.0,0.0,4500192.0,84240.0,781631488.0,270155776.0,2875629568.0,29691265024.0,0.0,3772416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3772416.0,0.290,0.480,0.430,528384.0,33553895424.0,24.100,0.0,0.0,0.0,24.100
06-05 12:18:49,0.219,0.125,99.311,0.313,0.0,0.031,64.0,0.0,6230148.0,139068.0,0.0,0.0,0.0,0.0,64.0,0.0,6230532.0,139068.0,781819904.0,270155776.0,2881662976.0,29685043200.0,0.0,5844992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5844992.0,0.290,0.480,0.430,528384.0,33553895424.0,25.900,0.0,0.0,0.0,25.900
06-05 12:18:50,0.219,0.094,99.343,0.313,0.0,0.031,0.0,0.0,3983382.0,96618.0,64.0,0.0,64.0,0.0,0.0,0.0,3983702.0,96618.0,781905920.0,270155776.0,2886832128.0,29679788032.0,0.0,4931584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4931584.0,0.290,0.480,0.430,528384.0,33553895424.0,23.200,0.0,0.0,0.0,23.200
06-05 12:18:51,0.125,0.188,99.062,0.594,0.0,0.031,64.0,0.0,4466260.0,103906.0,0.0,0.0,0.0,0.0,64.0,0.0,4466708.0,103906.0,782585856.0,270163968.0,2907439104.0,29658492928.0,0.0,20795392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20795392.0,0.290,0.480,0.430,528384.0,33553895424.0,29.700,0.0,0.0,0.0,29.700
06-05 12:18:52,0.156,0.094,99.312,0.407,0.0,0.031,0.0,0.0,3959660.0,98942.0,64.0,0.0,64.0,0.0,0.0,0.0,3959980.0,98942.0,782016512.0,270172160.0,2911420416.0,29655072768.0,0.0,3784704.0,0.0,0.0,0.0,0.0,0.0,45056.0,0.0,3846144.0,0.350,0.490,0.430,528384.0,33553895424.0,22.800,0.0,0.0,1.600,25.600
06-05 12:18:53,0.125,0.125,99.281,0.469,0.0,0.0,64.0,0.0,4154910.0,97890.0,0.0,0.0,0.0,0.0,64.0,0.0,4155294.0,97890.0,781320192.0,270172160.0,2915143680.0,29652045824.0,0.0,4153344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4161536.0,0.350,0.490,0.430,528384.0,33553895424.0,27.600,0.0,0.0,0.0,27.600
06-05 12:18:54,0.156,0.125,99.281,0.407,0.0,0.031,0.0,0.0,3766138.0,96348.0,64.0,0.0,64.0,0.0,0.0,0.0,3766458.0,96348.0,781455360.0,270172160.0,2918768640.0,29648285696.0,0.0,3715072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3715072.0,0.350,0.490,0.430,528384.0,33553895424.0,28.400,0.0,0.0,0.0,28.400
