[7l----system---- ----total-cpu-usage---- -net/total- ------memory-usage----- -dsk/total- ---load-avg--- ----swap---
  date/time   |usr sys idl wai hiq siq| recv  send| used  buff  cach  free| read  writ| 1m   5m  15m | used  free
21-02 12:04:27|  0   0 100   0   0   0|   0     0 | 872M  178M 4133M 2676M|  43k  100k|0.26 0.38 0.26|8304k 7992M
21-02 12:04:28|  2   2  96   0   0   1|5217k 5137k| 873M  178M 4134M 2675M|   0     0 |0.26 0.38 0.26|8304k 7992M
21-02 12:04:29|  2   2  96   0   0   0|5211k 5129k| 872M  178M 4135M 2673M|   0  4096B|0.26 0.38 0.26|8304k 7992M
21-02 12:04:30|  2   2  95   0   0   1|5314k 5229k| 872M  178M 4136M 2672M|   0     0 |0.26 0.38 0.26|8304k 7992M
21-02 12:04:31|  2   2  96   0   0   0|5260k 5175k| 872M  178M 4138M 2671M|   0     0 |0.26 0.38 0.26|8304k 7992M
21-02 12:04:32|  2   1  96   0   0   1|4816k 4744k| 872M  178M 4139M 2670M|   0   192k|0.24 0.37 0.26|8304k 7992M
21-02 12:04:33|  2   2  95   0   0   1|5191k 5111k| 872M  178M 4140M 2669M|   0     0 |0.24 0.37 0.26|8304k 7992M
21-02 12:04:34|  2   2  95   0   0   1|5218k 5138k| 872M  178M 4141M 2667M|   0  4096B|0.24 0.37 0.26|8304k 7992M
21-02 12:04:35|  2   2  96   0   0   0|5236k 5155k| 872M  178M 4143M 2666M|   0     0 |0.24 0.37 0.26|8304k 7992M
21-02 12:04:36|  2   2  96   0   0   1|5224k 5142k| 872M  178M 4144M 2665M|   0     0 |0.24 0.37 0.26|8304k 7992M
21-02 12:04:37|  2   2  96   0   0   1|5048k 4969k| 872M  178M 4145M 2663M|   0    80k|0.22 0.37 0.25|8304k 7992M
